"","Date","Countries","gdp","Nobs"
"1",1300,"Netherlands",-0.910147631348176,0
"2",1300,"France",-0.113800453526928,0.0329048041017713
"3",1300,"Germany",-0.520244710456467,0.0864244129189818
"4",1300,"United Kingdom",-0.822714855148217,0.196338936637707
"5",1300,"Belgium",-0.385550974148422,0.166747408242586
"6",1300,"Russia",-1.32368103229393,0
"7",1300,"Iberia",-0.605314438651022,0.0218810097972849
"8",1300,"Italy",0.987379916991473,0.0569628338604739
"9",1300,"Poland",-1.17480900795346,0
"10",1300,"Scandinavia",-1.17953510396427,0.0394988739190831
"11",1350,"Netherlands",-0.619492726683447,0
"12",1350,"France",0.0587020508675851,0.0508857299436975
"13",1350,"Germany",-0.157516841626908,0.065934004708632
"14",1350,"United Kingdom",-0.418633646224082,0.365032615565884
"15",1350,"Belgium",-0.117345025535035,0
"16",1350,"Russia",-1.32368103229393,0
"17",1350,"Iberia",-0.632489490713171,0.0364996296368822
"18",1350,"Italy",1.12798127331303,0.0721645194127538
"19",1350,"Poland",-1.17480900795346,0
"20",1350,"Scandinavia",-0.933778111402219,0
"21",1400,"Netherlands",-0.328837822018719,0
"22",1400,"France",0.0563390028621808,0.00845548847207785
"23",1400,"Germany",0.205211027202651,0.0941808317225013
"24",1400,"United Kingdom",-0.014552437299948,0.138092681421932
"25",1400,"Belgium",0.150860923078353,0.213097780142675
"26",1400,"Russia",-1.32368103229393,0
"27",1400,"Iberia",-0.65966454277532,0.03919927308207
"28",1400,"Italy",1.26858262963458,0.0684772877074944
"29",1400,"Poland",-1.17480900795346,0.0442071202191858
"30",1400,"Scandinavia",-0.688021118840172,0
"31",1450,"Netherlands",-0.0937145454809919,0
"32",1450,"France",0.0303454748027336,0.0070987173967431
"33",1450,"Germany",0.205211027202651,0.165184032700892
"34",1450,"United Kingdom",-0.0287307253323738,0
"35",1450,"Belgium",0.580935660061934,0.0750438437805639
"36",1450,"Russia",-1.32368103229393,0
"37",1450,"Iberia",-0.581683958596979,0.0180744497499334
"38",1450,"Italy",1.03464087709956,0.200366144793672
"39",1450,"Poland",-1.00939564757516,0.112186108041075
"40",1450,"Scandinavia",-0.688021118840172,0
"41",1500,"Netherlands",0.141408731056735,0.23098846333505
"42",1500,"France",-0.0878069254674812,0.0346924730206777
"43",1500,"Germany",0.205211027202651,0.407242568786749
"44",1500,"United Kingdom",-0.0429090133647996,0
"45",1500,"Belgium",1.01101039704552,0
"46",1500,"Russia",-1.32368103229393,0
"47",1500,"Iberia",-0.503703374418637,0.065597077544951
"48",1500,"Italy",0.800699124564534,0.507787488469503
"49",1500,"Poland",-0.843982287196855,0.202815676889463
"50",1500,"Scandinavia",-0.688021118840172,0
"51",1550,"Netherlands",1.24022605356973,0.736391368464067
"52",1550,"France",-0.302844293959272,0.140201106057372
"53",1550,"Germany",-0.195325609713377,0.953450578291366
"54",1550,"United Kingdom",-0.0476351093756082,0.356979746929304
"55",1550,"Belgium",1.13152584532113,0.348313600291008
"56",1550,"Russia",-1.26106026015071,0
"57",1550,"Iberia",-0.449353270294338,0.182558329720511
"58",1550,"Italy",0.617562904145701,0.431362045975152
"59",1550,"Poland",-0.716377694905023,0.0253310007696947
"60",1550,"Scandinavia",-0.688021118840172,0
"61",1600,"Netherlands",2.33904337608273,1.73959851221778
"62",1600,"France",-0.210685421748504,0.319160338275701
"63",1600,"Germany",-0.595862246629404,1.04066216920629
"64",1600,"United Kingdom",-0.0523612053864168,1.21544893156456
"65",1600,"Belgium",1.25204129359675,1.96975121004157
"66",1600,"Russia",-1.1984394880075,0
"67",1600,"Iberia",-0.395003166170039,0.137917350580117
"68",1600,"Italy",0.434426683726868,0.775399667413384
"69",1600,"Poland",-0.588773102613192,0.0164595536745647
"70",1600,"Scandinavia",-0.688021118840172,0.904806347649635
"71",1650,"Netherlands",2.39103043220162,4.08037874844461
"72",1650,"France",-0.0878069254674812,0.799304993410029
"73",1650,"Germany",-0.262672477867399,1.66511661749385
"74",1650,"United Kingdom",-0.406818406197061,1.95162351639601
"75",1650,"Belgium",0.911762380818535,1.14533888265718
"76",1650,"Russia",-1.12991109585077,0
"77",1650,"Iberia",-0.87942800727792,0.0483271403055837
"78",1650,"Italy",0.510044219899805,0.705085253493119
"79",1650,"Poland",-0.588773102613192,0.0929558972170247
"80",1650,"Scandinavia",-0.201233229726887,0.51158409414293
"81",1700,"Netherlands",1.32529578176429,4.46513566509149
"82",1700,"France",-0.0948960694836941,0.65871457466132
"83",1700,"Germany",-0.283939909916038,1.38024191003804
"84",1700,"United Kingdom",1.07244964518603,2.0932630190617
"85",1700,"Belgium",0.746349020440235,0.137154635220897
"86",1700,"Russia",-1.06138270369405,0.0231486986668446
"87",1700,"Iberia",-0.579320910591574,0.0129044724732697
"88",1700,"Italy",0.67782062828351,0.467468382836854
"89",1700,"Poland",-1.15826767191563,0.0938897652261133
"90",1700,"Scandinavia",0.691998916315936,1.01914627347285
"91",1750,"Netherlands",1.77900099880191,2.2066953037948
"92",1750,"France",-0.0901699734728855,0.79297608634869
"93",1750,"Germany",-0.0216415813161609,1.84283354524918
"94",1750,"United Kingdom",1.50252438216961,2.6424968692894
"95",1750,"Belgium",0.713266348364575,0
"96",1750,"Russia",-0.9786760235049,0.0544341570581197
"97",1750,"Iberia",-0.652575398759108,0.0604355543637446
"98",1750,"Italy",0.800699124564534,0.417530932996851
"99",1750,"Poland",-1.15826767191563,0.134844286715686
"100",1750,"Scandinavia",-0.184691893689057,1.63668088331683
"101",1800,"Netherlands",2.24215840786115,2.5006006630212
"102",1800,"France",0.042160714829755,1.57150103455475
"103",1800,"Germany",-0.172876653662036,3.63833992042501
"104",1800,"United Kingdom",2.45246968034214,3.43217187911713
"105",1800,"Belgium",0.992106013002281,0.214285647058545
"106",1800,"Russia",-0.89596934331575,0.0727076297347903
"107",1800,"Iberia",-0.338290014040336,0.199989831732873
"108",1800,"Italy",0.434426683726868,0.496375964909271
"109",1800,"Poland",-1.00466955156435,0.135411660303517
"110",1800,"Scandinavia",-0.46116851032136,2.64718414525572
"111",1850,"Netherlands",3.09994483382291,2.18015778150973
"112",1850,"France",1.10553231726169,1.79969325892074
"113",1850,"Germany",0.871590564726662,4.0730144554195
"114",1850,"United Kingdom",3.9199224916982,3.15349226710996
"115",1850,"Belgium",1.86170767899106,0.921481482036785
"116",1850,"Russia",-0.730555982937449,0.162621284780999
"117",1850,"Iberia",-0.137430933580971,0.0919458666927195
"118",1850,"Italy",0.687272820305127,0.514958022159149
"119",1850,"Poland",-1.00466955156435,0.215112196433848
"120",1850,"Scandinavia",0.0634281468783937,2.05262702315995
