"","gdp_only.c.a...0.003515625..sigma...7.11539170853986..N_0...0.117443816188629..","gdp_only.c.a...0.153515625..sigma....0.9163551039928..N_0...0.0129375260752984..","gdp_only.c.a...0.228515625..sigma...0.927551371062634..N_0...0.024458288126763..","gdp_only.c.a...0.078515625..sigma....0.84057778310653..N_0...0.0237998939800903..","gdp_only.c.a...0.116015625..sigma....0.806226600029172..N_0....0.00588000354517521..","gdp_only.c.a...0.266015625..sigma....0.903188861013519..N_0...0.0448141485049181..","gdp_only.c.a...0.191015625..sigma...0.950605689330021..N_0...0.0790136798542485..","gdp_only.c.a...0.041015625..sigma....1.35370447298878..N_0...0.115602044928471..","gdp_only.c.a...0.059765625..sigma...6.77561040742928..N_0...0.0342434124385957..","gdp_only.c.a...0.209765625..sigma....0.917829991493012..N_0...0.0511431116588409..","gdp_only.c.a...0.284765625..sigma...0.942638495813133..N_0...0.0341288143194924..","gdp_only.c.a...0.134765625..sigma....0.851013195586361..N_0...0.024026425468897..","gdp_only.c.a...0.097265625..sigma....0.89037978871007..N_0...0.0339924190262794..","gdp_only.c.a...0.247265625..sigma...0.947771434848076..N_0...0.0139107956464272..","gdp_only.c.a...0.172265625..sigma....1.0544407624686..N_0...0.0828462168098033..","gdp_only.c.a...0.022265625..sigma....1.28008483391039..N_0...0.16709729770459..","gdp_only.c.a...0.031640625..sigma....1.19086322607912..N_0...0.11551196410548..","gdp_only.c.a...0.181640625..sigma....0.884174725366208..N_0...0.0213101420076613..","gdp_only.c.a...0.256640625..sigma...0.961848526058155..N_0...0.0381338007490315..","gdp_only.c.a...0.106640625..sigma....0.94352430543797..N_0...0.00685698227905509..","gdp_only.c.a...0.144140625..sigma....0.951931617035647..N_0...0.0427779485433747..","gdp_only.c.a...0.294140625..sigma...0.949944961022763..N_0...0.0217410759729652..","gdp_only.c.a...0.219140625..sigma...0.904046685152391..N_0...0.0534839460579035..","gdp_only.c.a...0.069140625..sigma....1.34158405872849..N_0...0.118036842262662..","gdp_only.c.a...0.050390625..sigma....1.14927827713437..N_0...0.159691598939371..","gdp_only.c.a...0.200390625..sigma...0.877337330425984..N_0...0.0252946200979894..","gdp_only.c.a...0.275390625..sigma...0.957379258871457..N_0...0.0573255683139723..","gdp_only.c.a...0.125390625..sigma...0.891484620470655..N_0...0.0360438513710952..","gdp_only.c.a...0.087890625..sigma....0.975875425817894..N_0...0.115924172112164..","gdp_only.c.a...0.237890625..sigma....0.923174403222688..N_0....0.00595962045324067..","gdp_only.c.a...0.162890625..sigma....0.925671289013152..N_0...0.0276930391984843..","gdp_only.c.a...0.012890625..sigma...11.2859073416415..N_0...0.193958791405384..","gdp_only.c.a...0.017578125..sigma...3.95814589494832..N_0...0.0980661303863585..","gdp_only.c.a...0.167578125..sigma....0.871204134077657..N_0....0.00369991606744095..","gdp_only.c.a...0.242578125..sigma...0.959445959392553..N_0...0.057102432334697..","gdp_only.c.a...0.092578125..sigma....1.38986870713687..N_0...0.0998534001414063..","gdp_only.c.a...0.130078125..sigma...0.881262813517855..N_0...0.0304823325995428..","gdp_only.c.a...0.280078125..sigma....0.979934353036705..N_0...0.0337503314507615..","gdp_only.c.a...0.205078125..sigma...0.941476008814954..N_0...0.0339614407637067..","gdp_only.c.a...0.055078125..sigma....2.13993509790503..N_0...0.107607203276101.."
"a",0.003515625,0.153515625,0.228515625,0.078515625,0.116015625,0.266015625,0.191015625,0.041015625,0.059765625,0.209765625,0.284765625,0.134765625,0.097265625,0.247265625,0.172265625,0.022265625,0.031640625,0.181640625,0.256640625,0.106640625,0.144140625,0.294140625,0.219140625,0.069140625,0.050390625,0.200390625,0.275390625,0.125390625,0.087890625,0.237890625,0.162890625,0.012890625,0.017578125,0.167578125,0.242578125,0.092578125,0.130078125,0.280078125,0.205078125,0.055078125
"sigma",7.11539170853986,-0.9163551039928,0.927551371062634,-0.84057778310653,-0.806226600029172,-0.903188861013519,0.950605689330021,-1.35370447298878,6.77561040742928,-0.917829991493012,0.942638495813133,-0.851013195586361,-0.89037978871007,0.947771434848076,-1.0544407624686,-1.28008483391039,-1.19086322607912,-0.884174725366208,0.961848526058155,-0.94352430543797,-0.951931617035647,0.949944961022763,0.904046685152391,-1.34158405872849,-1.14927827713437,0.877337330425984,0.957379258871457,0.891484620470655,-0.975875425817894,-0.923174403222688,-0.925671289013152,11.2859073416415,3.95814589494832,-0.871204134077657,0.959445959392553,-1.38986870713687,0.881262813517855,-0.979934353036705,0.941476008814954,-2.13993509790503
"N_0",0.117443816188629,0.0129375260752984,0.024458288126763,0.0237998939800903,-0.00588000354517521,0.0448141485049181,0.0790136798542485,0.115602044928471,0.0342434124385957,0.0511431116588409,0.0341288143194924,0.024026425468897,0.0339924190262794,0.0139107956464272,0.0828462168098033,0.16709729770459,0.11551196410548,0.0213101420076613,0.0381338007490315,0.00685698227905509,0.0427779485433747,0.0217410759729652,0.0534839460579035,0.118036842262662,0.159691598939371,0.0252946200979894,0.0573255683139723,0.0360438513710952,0.115924172112164,-0.00595962045324067,0.0276930391984843,0.193958791405384,0.0980661303863585,-0.00369991606744095,0.057102432334697,0.0998534001414063,0.0304823325995428,0.0337503314507615,0.0339614407637067,0.107607203276101
"sigma_obs",-0.692292418856724,0.431859189245562,-0.462742503338111,-0.386417354143442,0.445938302216715,-0.500922468669433,-0.432434595553265,0.331502984536201,0.707020774661392,-0.471808613054948,-0.505971450927724,0.419126413763933,-0.378395253917492,0.485049294069136,-0.409088977785213,-0.326614675572972,-0.318571715588742,0.445294866063801,-0.479726646343188,-0.398034574404619,-0.416963287399401,0.505108742189156,-0.453919618541879,0.295361046077941,0.337466719297946,0.45856934620172,0.489433449565906,0.417779256735524,-0.419464026899698,0.474456708514103,0.424309437767282,-0.71626122741706,-0.280337884093938,0.445786492380051,-0.457895665167042,0.335943500852552,-0.43174273137028,-0.495262049703335,0.440136404310833,0.303078821659976
"z",-0.022887563376632,0.924627045329572,0.780750794695392,1.11726244864108,0.993332505283577,0.740309831217607,0.885723451676998,0.929241990803608,-0.0254651204165799,0.804036110529713,0.697949309985316,0.991868270590208,1.01651814607583,0.749405307771014,0.783716206035674,0.920065345283388,1.14405654261436,0.860902167311224,0.738142556246911,0.9650101745835,0.89547458252847,0.69588688701087,0.814351252617507,0.765336245662949,0.938930205046779,0.828187597525612,0.70956459040055,0.964917624699258,0.958961653183573,0.738147402546162,0.878596819188464,-0.00958781755280238,0.161864262922983,0.904642003817004,0.761708124102688,0.802528559222945,0.921078039958484,0.68851794191389,0.801993521182054,0.514624837087235
"d",0.862442354369269,0.025786789935494,-0.00715773438080086,0.0420029073123347,-0.204881917004516,-0.0617689954971332,-0.00468363137342688,-0.0666609593324503,1.05391264124924,0.0625679572192098,0.0377223891658845,0.111383663325631,-0.142104232094445,-0.0132208958110444,0.0307209156569376,-0.0497989238355913,0.141764262814332,0.0376476477368523,0.0262720610936407,0.00956790340382291,0.0972998519686804,0.00035055051127941,0.00604141584996418,0.0938384579023182,0.115731012733394,-0.000960292166504918,0.00894103942652908,-0.0499082702493798,-0.101080287237729,0.0510635826343082,-0.0197955265155959,-1.06277179313994,0.121857756621949,0.0802621503127907,0.0840772465450864,0.0333545800381197,-0.0112894085218939,-0.0120781790360147,0.0250540737640125,0.00682724297244691
"b",0.664292226818412,-0.112222049635972,-0.0180056441284199,-0.0577673312678481,-0.0623150162068734,0.0408213546479401,0.0111637004840462,0.164916941365289,0.535488436651294,0.000243069562096603,0.0363878376705958,0.00538875026315451,-0.0133545040890858,-0.0125580825181671,0.0491481001265839,-0.10498685452417,-0.109839667739098,0.026869925772668,-0.0195979834216415,0.00442003042372444,-0.0603510463621183,-0.0132846913909372,0.0123932079258294,0.0503605818179016,0.0707821982806493,-0.0230120386146041,-0.00152368128312806,0.0368393242617232,-0.0331143522047549,-0.00899478585194337,-0.0440658772345565,0.570660083131237,0.0295877441197323,-0.0566479660079523,0.0686266345997915,0.0406989301530584,0.0612285776190269,-0.00310363618900383,-0.00394178074213451,-0.00551369378252114
"c",0.255070836646036,-0.0237247053975068,-0.0602993276015941,-0.0114616587545404,-0.00349338980288734,-0.0714190872218412,-0.0551228071716443,0.00362116816031968,0.199109777728688,-0.0504134410518435,-0.0783313479070995,-0.0347855824621474,-0.00543966001219785,-0.0595109801729617,-0.0381245947843685,0.0287410683575912,0.00642609021874406,-0.0376296338506052,-0.0753096378876163,-0.0034550044266029,-0.0212924890931378,-0.0892396569958757,-0.0591893563026117,-0.00384038722869023,0.0110550148671626,-0.0480288100649495,-0.0844246247272796,-0.0186426727183062,-0.00524531374697064,-0.0517678507259313,-0.038382949165886,0.255682712491827,0.0420349287337264,-0.0286609904675309,-0.0712959737635382,-0.0124218468299478,-0.0150489903047965,-0.080081045424656,-0.0547469365686025,0.00285009067986665
"e",0.566288092714958,-0.0153161941186249,0.00303540915320315,-0.0888878160298176,0.0379728876539965,-0.00700878798718692,0.0469522846183485,-0.0824137258739011,-0.563676459661349,-0.0194638497848876,0.020802816893735,0.00467609166796904,-0.11512889166725,-0.00916606584652094,-0.0247271758936954,0.0442231302531469,-0.0281174825754633,0.028071043626925,-0.00106125931108062,-0.0048244267803027,-0.0803928357852846,0.00800401527895963,0.0375882806180324,-0.0271895800381598,0.0576779684050783,-0.0127404532520952,-0.0110938725173744,0.0577262583357458,0.109979107190829,-0.00290378021882129,-0.040885215717444,0.539640182022689,-0.134586603441813,-0.00693457885728295,0.00843927392413409,0.0305781162866706,0.0360034037192969,-0.0202388800527912,0.0148022961708691,0.127535979469753
"f",0.0416926494282057,0.00704439692662608,0.012098392712796,0.0455357984169837,0.00648029078932215,0.00573941439523054,0.0119131870275918,0.037007256477172,-0.00171243479408422,-0.0103650918494985,0.0142987298188167,-0.00130973409564291,-0.0052115434094633,-0.0197773475875753,-0.0103502845931866,-0.0714014815221882,-0.0185940715364097,-0.0247888910939681,0.0024557514342203,0.0719632652282635,-0.0277284965219059,-0.00675487530184558,0.0110985286281099,0.106925598673206,-0.0009245419731596,0.0162006293475844,-0.0163683354837884,0.00837273147458296,-0.045646820097015,-0.00538353897569705,0.00553472170896569,-0.0511661877974538,-0.00326016925982965,-0.00819875855425018,0.003396202139554,0.00109001627572168,-0.0170945218553516,-0.00199091745658151,-0.0115558844451429,-0.0347692605799551
"sigma2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"loglik",-119.510511669936,-54.6364739699455,-63.4035538059599,-48.1171799913037,-51.1867663669215,-68.8546419527032,-59.4253677910629,-52.2126087178249,-118.057267819287,-61.2610889565292,-71.2957307542771,-52.4050822566103,-50.2359727895145,-66.2018535372127,-57.5242735035483,-54.5859514633496,-50.5056523893618,-57.2980724636098,-67.2431403059998,-50.1584924297999,-53.9627756833477,-72.3429280905579,-62.2655653860693,-52.7763616773264,-49.8435268891275,-59.687203377821,-69.8277699567802,-50.9309423061146,-52.1856809311879,-65.1165922166967,-55.2510851000871,-119.995668819568,-63.0362744544802,-55.8355203385711,-65.9502113527483,-52.6451615283313,-51.5786344897382,-70.4357191515163,-60.4746613233677,-56.1628060331057
"loglik.se.se",0.00482612155812326,0.00595661206794886,0.00507012159296627,0.0241828058242799,0.00617407885293363,0.00308199207194589,0.0068343112029896,0.0161538417366078,0.00451618425057218,0.0042573671932593,0.00294478783991566,0.0132294894654316,0.0218780960149942,0.00330132107504092,0.0104974031701907,0.0231013478586513,0.0205875882359325,0.00626187077133697,0.00404197021450824,0.0108242965170889,0.0083849687159483,0.00308297260004601,0.00606035468723173,0.113198793402936,0.0315184107159159,0.00571247968601916,0.00391613392121277,0.00946997872924072,0.00850191923572556,0.00417049340765455,0.010026932731751,0.00402429591104964,0.0197692283932487,0.00557787973007159,0.00569885801276006,0.0159372834682979,0.00810694171775504,0.00340111204472722,0.00789651017288427,0.014165828337248
